2026-08-06T13:34:40.105616 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-06T13:34:40.106237 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-06T13:39:14.500501 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-06T13:39:14.501264 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-06T17:03:10.850298 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-06T17:03:10.850872 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-06T19:01:16.640678 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-06T19:01:16.641434 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-06T23:15:38.280139 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-06T23:15:38.280972 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-06T23:18:15.432306 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-06T23:18:15.432778 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-09T12:38:28.187124 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-09T12:38:28.187862 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-09T12:42:50.810806 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-09T12:42:50.811444 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-09T23:10:40.221881 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-09T23:10:40.222344 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
2026-08-10T00:06:27.253500 | QUERY='AL-ZARQAWI FINANCIAL' | MATCH=True | SCORE=0.8333 | ENTITY=SDN-101
2026-08-10T00:06:27.254038 | QUERY='JOHN SMITH CONSULTING' | MATCH=False | SCORE=0.4167 | ENTITY=SDN-104
